date_sold,sales_price,address,bedrooms,bathrooms,square_feet,home_type,year_built,neighborhood,lat,long,age
2022-04-28T00:00:00Z,368000,"1510 9th St UNIT 215, Tuscaloosa, AL 35401",2,2,1025,Condominium,2009,University,33.2081392979437,-87.5574172307946,13
2022-04-25T00:00:00Z,250000,"502 16th St APT 1, Tuscaloosa, AL 35401",3,3,1480,Townhouse,2009,University,33.1979325576769,-87.5419338154522,13
2022-04-25T00:00:00Z,260000,"502 16th St APT 2, Tuscaloosa, AL 35401",3,3,1480,Townhouse,2009,University,33.1979940239544,-87.5418992019591,13
2022-04-22T00:00:00Z,220000,"900 Red Drew Ave UNIT 12, Tuscaloosa, AL 35401",1,1,504,Condominium,2001,University,33.2076845456277,-87.554828115452,21
2022-04-20T00:00:00Z,210000,"600 13th St E APT 536, Tuscaloosa, AL 35401",3,3,1250,Condominium,2006,University,33.2015180149203,-87.5273300154521,16
2022-04-19T00:00:00Z,259900,"700 15th St UNIT 2307, Tuscaloosa, AL 35401",2,2,1127,Condominium,2009,University,33.2006071397882,-87.5470615903156,13
2022-04-18T00:00:00Z,1075000,"2419 14th St, Tuscaloosa, AL 35401",4,1,1140,Apartment,2000,Greensboro/Bryant,33.2007669972645,-87.5656639731234,22
2022-04-15T00:00:00Z,178900,"120 15th St E APT 517, Tuscaloosa, AL 35401",2,2,1040,Condominium,1991,University,33.2009842840056,-87.5354324596304,31
2022-04-15T00:00:00Z,1200000,"1501 UniversityBlvd #302, Tuscaloosa, AL 35401",4,4,2449,Condominium,2020,University,33.2114466894627,-87.5572975596302,2
2022-04-14T00:00:00Z,190000,"600 13th St E APT 712, Tuscaloosa, AL 35401",3,3,1175,Townhouse,2006,University,33.2016449825148,-87.5272791596303,16
2022-04-14T00:00:00Z,217900,"900 Red Drew Ave UNIT 13, Tuscaloosa, AL 35401",1,1,616,Condominium,2001,University,33.2077473826377,-87.5547956289451,21
2022-04-13T00:00:00Z,167500,"120 15th St E APT 522, Tuscaloosa, AL 35401",2,2,1040,Condominium,1991,University,33.2009541389342,-87.5353573577808,31
2022-04-13T00:00:00Z,360000,"1018 Hackberry Ln UNIT 110, Tuscaloosa, AL 35401",1,1,1071,Condominium,2008,University,33.2051654975747,-87.5435856577807,14
2022-04-12T00:00:00Z,285000,"700 15th St UNIT 2202, Tuscaloosa, AL 35401",3,2,1407,Condominium,2009,University,33.2006282073466,-87.5470281596304,13
2022-04-11T00:00:00Z,248500,"700 15th St UNIT 2107, Tuscaloosa, AL 35401",2,2,1015,Condominium,2009,University,33.2005711300023,-87.5470267154521,13
2022-04-08T00:00:00Z,185000,"1901 5th Avenue E. Unit 3205 Tuscaloosa, AL 35401",3,3,1336,Condominium,2007,Forest Lake,33.1936888440186,-87.5294528442753,15
2022-04-08T00:00:00Z,309900,"801 16th Ave UNIT 2D, Tuscaloosa, AL 35401",2,2,830,Condominium,2007,University,33.2085696901448,-87.5581157172885,15
2022-04-08T00:00:00Z,649900,"1150 8th St #303, Tuscaloosa, AL 35401",1,2,1183,Condominium,2020,University,33.2098338995941,-87.5523995461241,2
2022-04-06T00:00:00Z,450000,"907 15th Ave APT 2, Tuscaloosa, AL 35401",1,1,460,Condominium,1972,University,33.2075174832473,-87.5568732461242,50
2022-04-06T00:00:00Z,450000,"907 15th Ave APT 8, Tuscaloosa, AL 35401",1,1,460,Condominium,1972,University,33.2074636228142,-87.5568839749598,50
2022-04-05T00:00:00Z,159000,"1901 5th Ave E UNIT 1107, Tuscaloosa, AL 35401",2,2,1044,Condominium,2007,Forest Lake,33.1936784222139,-87.5298384866041,15
2022-04-04T00:00:00Z,168900,"907 15th Ave APT 6, Tuscaloosa, AL 35401",1,1,462,Condominium,1972,University,33.2073922926808,-87.5568776307818,50
2022-04-04T00:00:00Z,159900,"600 13th St E APT 314, Tuscaloosa, AL 35401",2,2,875,Condominium,2006,University,33.2016826917583,-87.5274549731108,16
2022-04-04T00:00:00Z,245000,"700 15th St UNIT 2306, Tuscaloosa, AL 35401",2,2,950,Condominium,2009,University,33.2006167396668,-87.5469650307819,13
2022-04-01T00:00:00Z,267500,"1155 12th St UNIT 505, Tuscaloosa, AL 35401",1,1,830,Condominium,2007,University,33.2038377088752,-87.5527399577683,15
2022-04-01T00:00:00Z,132000,"210 15th St E APT 56, Tuscaloosa, AL 35401",2,2,995,Condominium,1985,University,33.1990630763699,-87.5339203884532,37
